condition,label,class_id,learning_order,mean_mse,ci95_low,ci95_high,seed_count
cl_dataset_oracle,CL + original data,1,0,0.0036887024296447636,0.003617284155849888,0.0037601207034396395,10
cl_dataset_oracle,CL + original data,7,1,0.010347758792340756,0.010230546682994314,0.010464970901687198,10
cl_dataset_oracle,CL + original data,0,2,0.014532727375626563,0.014439225404165151,0.014626229347087976,10
cl_dataset_oracle,CL + original data,2,3,0.020260610431432725,0.020194524584206675,0.020326696278658775,10
cl_dataset_oracle,CL + original data,3,4,0.017273796536028386,0.017064119857501083,0.01748347321455569,10
cl_dataset_oracle,CL + original data,4,5,0.015648208558559418,0.015460350345983857,0.015836066771134978,10
cl_dataset_oracle,CL + original data,5,6,0.019556882232427596,0.01930259297625691,0.019811171488598282,10
cl_dataset_oracle,CL + original data,6,7,0.017665088921785355,0.0174794658071434,0.01785071203642731,10
cl_dataset_oracle,CL + original data,8,8,0.021882810816168784,0.021654322166963988,0.02211129946537358,10
cl_dataset_oracle,CL + original data,9,9,0.012191540002822876,0.012097190755014621,0.012285889250631132,10
cl_intrinsic,CL + intrinsic replay,1,0,0.01817146986722946,0.01686945122313812,0.019473488511320802,10
cl_intrinsic,CL + intrinsic replay,7,1,0.013575289491564035,0.013145216538213331,0.014005362444914739,10
cl_intrinsic,CL + intrinsic replay,0,2,0.03357265181839466,0.03294446021272646,0.034200843424062856,10
cl_intrinsic,CL + intrinsic replay,2,3,0.03414501659572124,0.03337484083151865,0.03491519235992384,10
cl_intrinsic,CL + intrinsic replay,3,4,0.02767517287284136,0.02690421240333118,0.028446133342351538,10
cl_intrinsic,CL + intrinsic replay,4,5,0.017879558727145195,0.017649906951994216,0.018109210502296174,10
cl_intrinsic,CL + intrinsic replay,5,6,0.027552239038050173,0.02697738148393753,0.028127096592162816,10
cl_intrinsic,CL + intrinsic replay,6,7,0.02788464967161417,0.027409045954544485,0.028360253388683858,10
cl_intrinsic,CL + intrinsic replay,8,8,0.025001459196209906,0.02459923259199309,0.025403685800426724,10
cl_intrinsic,CL + intrinsic replay,9,9,0.012735381536185742,0.012581719825226925,0.01288904324714456,10
cl_no_replay,"CL, no replay",1,0,0.00984967378899455,0.00947043618062181,0.01022891139736729,10
cl_no_replay,"CL, no replay",7,1,0.016714363172650338,0.016344215883361362,0.017084510461939314,10
cl_no_replay,"CL, no replay",0,2,0.04076931066811085,0.03937314530122094,0.04216547603500075,10
cl_no_replay,"CL, no replay",2,3,0.039441826194524764,0.03862375067333764,0.040259901715711886,10
cl_no_replay,"CL, no replay",3,4,0.03030003756284714,0.02956095246223742,0.031039122663456858,10
cl_no_replay,"CL, no replay",4,5,0.019852546602487565,0.019632918532206663,0.020072174672768468,10
cl_no_replay,"CL, no replay",5,6,0.03230405542999506,0.03154201200456606,0.03306609885542406,10
cl_no_replay,"CL, no replay",6,7,0.03415349870920181,0.03319369234368886,0.035113305074714767,10
cl_no_replay,"CL, no replay",8,8,0.027960598841309546,0.027465704583584636,0.028455493099034456,10
cl_no_replay,"CL, no replay",9,9,0.010781499929726124,0.010682093999974267,0.010880905859477982,10
ndl_dataset_oracle,NDL + original data,1,0,0.006626497860997916,0.006422884753378054,0.0068301109686177775,10
ndl_dataset_oracle,NDL + original data,7,1,0.017994357086718083,0.017725180219344036,0.01826353395409213,10
ndl_dataset_oracle,NDL + original data,0,2,0.06442502997815609,0.06232372367686942,0.06652633627944277,10
ndl_dataset_oracle,NDL + original data,2,3,0.05778874643146992,0.05681857729172771,0.05875891557121213,10
ndl_dataset_oracle,NDL + original data,3,4,0.06078927628695965,0.059457732355459675,0.06212082021845962,10
ndl_dataset_oracle,NDL + original data,4,5,0.048846641555428505,0.04722003280669443,0.05047325030416258,10
ndl_dataset_oracle,NDL + original data,5,6,0.06181745193898678,0.06052994284399068,0.06310496103398289,10
ndl_dataset_oracle,NDL + original data,6,7,0.06802911907434464,0.06650122333898763,0.06955701480970165,10
ndl_dataset_oracle,NDL + original data,8,8,0.05724833495914936,0.056074601772878443,0.05842206814542028,10
ndl_dataset_oracle,NDL + original data,9,9,0.03874761164188385,0.037945325641202315,0.03954989764256539,10
ndl_intrinsic,NDL + intrinsic replay,1,0,0.025408426485955714,0.02335049702762473,0.0274663559442867,10
ndl_intrinsic,NDL + intrinsic replay,7,1,0.041869108378887174,0.03925963956749082,0.04447857719028353,10
ndl_intrinsic,NDL + intrinsic replay,0,2,0.09858218654990196,0.09522380413753041,0.1019405689622735,10
ndl_intrinsic,NDL + intrinsic replay,2,3,0.07976365834474564,0.07677867975450002,0.08274863693499125,10
ndl_intrinsic,NDL + intrinsic replay,3,4,0.07657147943973541,0.0741672389055889,0.07897571997388192,10
ndl_intrinsic,NDL + intrinsic replay,4,5,0.05782830789685249,0.05553673825210735,0.06011987754159763,10
ndl_intrinsic,NDL + intrinsic replay,5,6,0.07447553798556328,0.07256110422658611,0.07638997174454044,10
ndl_intrinsic,NDL + intrinsic replay,6,7,0.07925717830657959,0.07765562316369297,0.08085873344946622,10
ndl_intrinsic,NDL + intrinsic replay,8,8,0.06585548855364323,0.06387655562315385,0.06783442148413261,10
ndl_intrinsic,NDL + intrinsic replay,9,9,0.04766386151313782,0.04557402200423953,0.049753701022036106,10
ndl_no_replay,"NDL, no replay",1,0,0.010565273091197014,0.010144412892425493,0.010986133289968534,10
ndl_no_replay,"NDL, no replay",7,1,0.023977735079824924,0.023204087382477444,0.024751382777172405,10
ndl_no_replay,"NDL, no replay",0,2,0.059024615213274956,0.056387920148450725,0.061661310278099186,10
ndl_no_replay,"NDL, no replay",2,3,0.057265366241335866,0.0553597919644079,0.05917094051826383,10
ndl_no_replay,"NDL, no replay",3,4,0.061530420929193495,0.06009632101926357,0.06296452083912342,10
ndl_no_replay,"NDL, no replay",4,5,0.054381877183914185,0.05249096652225533,0.05627278784557304,10
ndl_no_replay,"NDL, no replay",5,6,0.06252009943127632,0.06076251611038689,0.06427768275216575,10
ndl_no_replay,"NDL, no replay",6,7,0.06853362545371056,0.06689117733129639,0.07017607357612472,10
ndl_no_replay,"NDL, no replay",8,8,0.05995311588048935,0.05799228943817082,0.06191394232280788,10
ndl_no_replay,"NDL, no replay",9,9,0.04507528133690357,0.04340934035848119,0.04674122231532595,10
