condition,seed,macro_mse,foreground_mse,mean_positive_forgetting,model_update_steps,runtime_seconds,parameter_count,final_widths
ndl_baseline,45,0.048797786235809326,0.1736537557981151,0.00018944251351058484,13299,101.58751173922792,389343,"[207,105,77,23]"
ndl_coupling_e5_lr005,45,0.022703997790813446,0.0885153645397377,0.0,25296,174.45778502291068,393924,"[208,106,80,32]"
ndl_baseline,46,0.04843677207827568,0.19998200859638304,0.0001473343465477228,13353,102.53501021815464,389343,"[207,105,77,23]"
ndl_coupling_e5_lr005,46,0.022852234542369843,0.08948783030773544,0.0,29550,198.73116834973916,394722,"[207,109,83,32]"
ndl_baseline,47,0.0472409650683403,0.2096784040895579,0.00020057568326592445,13338,102.1239913739264,389343,"[207,105,77,23]"
ndl_coupling_e5_lr005,47,0.023108722642064095,0.08994152531865036,0.0,26596,177.83952465699986,394821,"[207,111,81,29]"
cl_matched_optimized_endpoint,45,0.012698945589363575,0.05229144351048848,0.0,1113,88.60730265500024,393924,"[208,106,80,32]"
cl_matched_optimized_endpoint,46,0.012479870580136776,0.05135340635486109,0.0,1113,89.85739343008026,394722,"[207,109,83,32]"
cl_matched_optimized_endpoint,47,0.013290810398757458,0.05480930556034934,0.0,1113,89.48970848601311,394821,"[207,111,81,29]"
