family,name,seed_count,macro_mse,macro_ratio_to_baseline,mean_positive_forgetting,forgetting_delta,promoted
predictive_coding,pc_bp_equivalent,3,0.03182754230995973,0.9781935754420957,0.000161064685218864,0.00015495551957024468,False
predictive_coding,pc_bp_reference,3,0.028761674960454304,0.883966640945007,0.006271382328122854,0.006265273162474235,False
predictive_coding,pc_consolidate_e1,3,0.02845522885521253,0.8745482696347927,0.0022570695210662154,0.002250960355417596,False
predictive_coding,pc_consolidate_e3,3,0.028626398493846256,0.8798090289856604,0.0067747311356167,0.0067686219699680805,False
predictive_coding,pc_global_005,3,0.03176907574137052,0.9763966531030996,0.00012381912933455573,0.0001177099636859364,False
predictive_coding,pc_global_020,3,0.03177361935377121,0.9765362973274752,0.0001342295565538936,0.00012812039090527428,False
predictive_coding,pc_inference10,3,0.032372268537680306,0.9949352921333129,1.605056847135226e-05,9.941402822732925e-06,False
predictive_coding,pc_local,3,0.03253705923755964,1.0,6.109165648619334e-06,0.0,False
predictive_coding,pc_precision_global,3,0.03203774057328701,0.9846538477670338,0.00011045299470424652,0.00010434382905562718,False
predictive_coding,pc_reconstruction_precision,3,0.03276454036434492,1.006991447048868,8.437679045730167e-06,2.3285133971108326e-06,False
ndl,ndl_baseline,3,0.04119771098097166,1.0,0.0013625244610011578,0.0,False
ndl,ndl_coupling_e1_lr001,3,0.04092714563012123,0.9934325149527022,0.00129790971469548,-6.46147463056778e-05,False
ndl,ndl_coupling_e1_lr005,3,0.039899817357460655,0.9684959772616865,0.0010677345304025544,-0.00029478993059860333,False
ndl,ndl_coupling_e3_lr001,3,0.04040548950433731,0.9807702550027535,0.0011787391785118314,-0.0001837852824893263,False
ndl,ndl_coupling_e3_lr005,3,0.03774003808697065,0.9160712376569166,0.0006921194597250886,-0.0006704050012760692,False
ndl,ndl_coupling_e5_lr005,3,0.0360881673792998,0.8759750607495681,0.000517727496723334,-0.0008447969642778238,True
ndl,ndl_decoder_coupling_e3,3,0.03940786545475324,0.9565547336587437,0.0010006932231287162,-0.00036183123787244154,False
