condition,seed,class_id,mse
cl_dataset,42,0,0.002687992760911584
cl_dataset,42,1,0.00142697396222502
cl_dataset,42,2,0.0037847256753593683
cl_dataset,42,3,0.0032816343009471893
cl_dataset,42,4,0.003211654257029295
cl_dataset,42,5,0.0045166779309511185
cl_dataset,42,6,0.0033200508914887905
cl_dataset,42,7,0.0020743384957313538
cl_dataset,42,8,0.004066419787704945
cl_dataset,42,9,0.0025838748551905155
cl_dataset,42,10,0.006004448048770428
cl_dataset,42,15,0.0056007253006100655
cl_dataset,42,22,0.007157111540436745
cl_dataset,42,35,0.006870357319712639
cl_dataset,42,36,0.0035655684769153595
cl_dataset,42,61,0.0036978055723011494
cl_dataset,43,0,0.0024367482401430607
cl_dataset,43,1,0.0011401744559407234
cl_dataset,43,2,0.003383523551747203
cl_dataset,43,3,0.0030560572631657124
cl_dataset,43,4,0.003278816817328334
cl_dataset,43,5,0.004422654397785664
cl_dataset,43,6,0.003117187414318323
cl_dataset,43,7,0.002049400471150875
cl_dataset,43,8,0.003936191089451313
cl_dataset,43,9,0.0025637904182076454
cl_dataset,43,10,0.005764935165643692
cl_dataset,43,15,0.00526648573577404
cl_dataset,43,22,0.007002808153629303
cl_dataset,43,35,0.0066682277247309685
cl_dataset,43,36,0.0033707586117088795
cl_dataset,43,61,0.003413157071918249
cl_dataset,44,0,0.002574268030002713
cl_dataset,44,1,0.0011598765850067139
cl_dataset,44,2,0.0033774746116250753
cl_dataset,44,3,0.003077554050832987
cl_dataset,44,4,0.0031433813273906708
cl_dataset,44,5,0.004185076802968979
cl_dataset,44,6,0.0029761227779090405
cl_dataset,44,7,0.0019477863097563386
cl_dataset,44,8,0.0040200757794082165
cl_dataset,44,9,0.0026367073878645897
cl_dataset,44,10,0.005804817192256451
cl_dataset,44,15,0.00504479743540287
cl_dataset,44,22,0.006956246681511402
cl_dataset,44,35,0.006609776057302952
cl_dataset,44,36,0.0033243484795093536
cl_dataset,44,61,0.003410987090319395
ndl_dataset,42,0,0.005674611311405897
ndl_dataset,42,1,0.0032851160503923893
ndl_dataset,42,2,0.006971347611397505
ndl_dataset,42,3,0.006083908956497908
ndl_dataset,42,4,0.0060170660726726055
ndl_dataset,42,5,0.008039706386625767
ndl_dataset,42,6,0.006235810462385416
ndl_dataset,42,7,0.004631504882127047
ndl_dataset,42,8,0.007701283786445856
ndl_dataset,42,9,0.00547579862177372
ndl_dataset,42,10,0.010077250190079212
ndl_dataset,42,15,0.00924887415021658
ndl_dataset,42,22,0.013568472117185593
ndl_dataset,42,35,0.014295575208961964
ndl_dataset,42,36,0.006405078340321779
ndl_dataset,42,61,0.0075220069848001
ndl_dataset,43,0,0.00499461917206645
ndl_dataset,43,1,0.0025240059476345778
ndl_dataset,43,2,0.006292223930358887
ndl_dataset,43,3,0.0058199861086905
ndl_dataset,43,4,0.005451951175928116
ndl_dataset,43,5,0.0076847500167787075
ndl_dataset,43,6,0.005805510096251965
ndl_dataset,43,7,0.004236948676407337
ndl_dataset,43,8,0.006563807837665081
ndl_dataset,43,9,0.005226965062320232
ndl_dataset,43,10,0.009359431453049183
ndl_dataset,43,15,0.008275656960904598
ndl_dataset,43,22,0.013087388128042221
ndl_dataset,43,35,0.012202184647321701
ndl_dataset,43,36,0.006135912612080574
ndl_dataset,43,61,0.006729417480528355
ndl_dataset,44,0,0.004907920490950346
ndl_dataset,44,1,0.0022546430118381977
ndl_dataset,44,2,0.0057877846993505955
ndl_dataset,44,3,0.005538255907595158
ndl_dataset,44,4,0.005423237103968859
ndl_dataset,44,5,0.007438345812261105
ndl_dataset,44,6,0.005648867692798376
ndl_dataset,44,7,0.0037154527381062508
ndl_dataset,44,8,0.00712685938924551
ndl_dataset,44,9,0.0050935097970068455
ndl_dataset,44,10,0.009506287053227425
ndl_dataset,44,15,0.008667953312397003
ndl_dataset,44,22,0.013163204304873943
ndl_dataset,44,35,0.012792779132723808
ndl_dataset,44,36,0.005743665620684624
ndl_dataset,44,61,0.006671961396932602
